parent_feature,child_feature,sibling_features,example_reviews,app_name,n_siblings,cluster_size,child_depth,tree_id,model_type,embedding_type,strategy,sample_size
text formatting,page line,"[""line"", ""multiline""]","[""App is very Good \ud83d\udc4d Improve important Example Bold facility is not available, page line adjustment not available Other is ok""]",Google Keep - Notes and Lists,2,3,1,Google Keep - Notes and Lists__cluster_61,t-frex,allmini,balanced,0
music playback,audio playing,"[""spotify"", ""music lovers"", ""music player"", ""mp3 player"", ""media player""]","[""I av used the app for long its my best lyrics and audio playing app!!!""]",Musixmatch - Lyrics for your music,5,6,2,Musixmatch - Lyrics for your music__cluster_18,t-frex,allmini,balanced,0
internet connectivity,internet connections,"[""connection"", ""data connection""]","[""I need help I've been trying to access the app since 2 weeks ago but until now the app is still not working. I already uninstall and install, try to connect to different internet connections etc. but the problem is still the same.""]",foodpanda: Food & Groceries,2,3,1,foodpanda: Food & Groceries__cluster_47,t-frex,allmini,balanced,0
speaking practice,public speaking,"[""discussing"", ""speaking"", ""conversation"", ""communication""]","[""This is a wonderful software I really appreciate it. it's educative. I can easily learn public speaking""]",ELSA - Learn English Speaking,4,5,2,ELSA - Learn English Speaking__cluster_23,t-frex,allmini,balanced,0
shopping lists,grocery store,"[""grocery lists"", ""shopping list""]","[""What happened to this app? It worked flawlessly for years and now today 02/17/2022, I cannot find any of my lists, none of recipes, none of grocery store lists. This totally sucks so bad... ugh!!!""]",Google Keep - Notes and Lists,2,3,1,Google Keep - Notes and Lists__cluster_36,t-frex,allmini,balanced,0
activity viewing,download,"[""watch"", ""video""]","[""After downloading to the latest version and making sure that it's always running in my phone's background, it's still cheating on me with tons of missing steps daily. Ugghhhhh! Moreover, it doesn't have my two favorite workout activities (jumping jack & hula-hooping) that I do regularly. They need to add these two workouts on their list. \ud83d\ude44"", ""I have internet connection to re-download the app, but app itself cannot establish the same connection... absurd!"", ""I have been trying for weeks to get this app to sync with MyWalgreens app. I just can\u2019t make it happen, even though the Walgreens app says Google Fit is a preferred app to do this. I have tried talking to the Walgreens help desk but they do not have any techs that know what they are talking about. Can you help? I have both apps downloaded on all my devices. Thx!""]",Google Fit: Activity Tracking,2,3,1,Google Fit: Activity Tracking__cluster_1,t-frex,allmini,balanced,0
mobile access,device,"[""mobile"", ""phone""]","[""I never asked nor do I want your app on my device. But for some reason it was on it after I restarted my device, not cool. I've never had a account with you, but some how your app ended up on my device. How can that happen? I've had my device for a couple of months now & it's never been on it until today."", ""Chime is a very great thing to have and make part of your daily purchases from everything to rounding up your change to building your credit! Only part of the app that's a small annoyance is constantly having to put your 4 digit code in whenever you leave app to start a purchase and have to come back to maybe check your balance before doing transaction, things of that sort. Other than that it's awesome and I will always keep installed on my device!"", ""Won't let me link to any other account. Won't let me cash any checks on my mobile device. Took forever to get my card in the mail. This app has been nothing but issues""]",Chime – Mobile Banking,2,3,1,Chime – Mobile Banking__cluster_22,t-frex,allmini,balanced,0
download links,download button,"[""download links"", ""downloadable""]","[""very good. but I could have given it 5 \ud83c\udf1f if their was a download button. but very nice"", ""It's really a good app so I highly recommend it but a download button/option should be included so that after it has identified a song, I can download it from there right away."", ""just good but they must add a download button""]",Shazam: Music Discovery,2,3,2,Shazam: Music Discovery__cluster_1,t-frex,allmini,balanced,0
trip tracking,destination,"[""departure"", ""traveling"", ""trips""]","[""Have you guys fixed the bug in the app yet? I'm asking because every time I have my destination mode on it completely sends me the way opposite way! :( you guys are going to lose a lot of drivers if this issue doesn't get fixed Asap. In fact I'm considering in going back to UBER! Continuation 02/25/2022 Lyft is the worst rideshare company to work for i went back to UBER way better app and PAY plus you dont have to wait months on a back ground investigation like with lyft lyft SUCKS!"", ""There needs to be a rider canceled alert sound. I use waze as my GPS system and I can't tell you how many miles I've driven towards someone's destination and there is no rider when I go back to hit \""arrive\""or I'm way out of the way from a rider switch."", ""\""Good things in route: more bonuses\"" We don't need bonuses.... A higher base rate shows your commitment to e driver! 3 5 star reviews till August 2019 now six 1 star. The layover blocks all touches anywhere its placed on screen even when stopped. Auto accept is horrible. Can't turn on destination mode unless I go offline. Can't see destination unless I touch the screen which involves finding a safe place to pull over.""]",Lyft Driver,3,4,2,Lyft Driver__cluster_1,t-frex,allmini,balanced,0
gps tracking,location tracking,"[""gps tracking"", ""gps tracker"", ""tracking people"", ""case tracker"", ""phone tracker"", ""tracker""]","[""Tiles used to be great and reliable. Now they usually can't connect to find my things even though they are nearby, or location tracking stopped and you dont know till you need it. Recent app updates have made it do finding my phone rings for a few seconds then stops so you have to repeatedly hit find while you look. Ill be seeking out competitors at this point. Whats the use of a system that doesn't work when you need it most?"", ""More interested in tracking me than my possessions. Displays unwanted in-app surveys like \""did you get this as a gift?\"" that you cannot dismiss, REQUIRES that you enable location tracking on yourself. I understand I lose functions if I don't enable that feature but sending app Notifications to turn on that feature is absolutely obnoxious. Hardware is probably great, but the app makes the devices not worth the cost or effort. It was more trouble using this app than locating any of my lost devices. Support is robotic, the one time I contacted them they clearly didn't even read my message.""]",Tile,6,7,4,Tile__cluster_52,t-frex,allmini,balanced,0
customer support,customer service,"[""community"", ""service"", ""customer support"", ""support""]","[""Was working great for the first 3 months and then not so much! There's no customer service \ud83d\ude15; only tech support but not via the app after 3 months. The camera has been offline since September so I tried to cancel but their customer service doesn't exist; only a pre-recorded message directing you back to the app and then hangs up! Since I'm still being charged, I'm trying to troubleshoot why the camera went offline so I can use it since their still charging me monthly! #frustrated!"", ""Super frustrating, never works right... customer service is nonexistent. If I didn't have $550. In the system I'd throw it away... still may."", ""Well for the price it's really not worth the money. Lag time is horrible can't read license plates customer service is a joke. The list goes on and on.""]",Arlo,4,5,4,Arlo__cluster_9,t-frex,allmini,balanced,0
reward receiving,reciving,"[""rechar"", ""rec""]","[""I M GIVING 2 STARS BECAUSE ITS TRUSTED APP BUT I M NOT RECIVING SURVEYS"", ""I just love this application and i am reciving rewards thank you goggle""]",Google Opinion Rewards,2,3,1,Google Opinion Rewards__cluster_18,t-frex,allmini,balanced,0
weight loss tracking,weight loss journey,"[""loss guidance"", ""loss planners"", ""loss journey""]","[""Healthifyme is a wonderful app which has helped me and many others in weight loss journey"", ""A very good tool to keep your weight loss journey upto mark and going smoothly. It just let's you take control of how you eat, when you binge and get back on track. It keeps you sailing."", ""Amazing App. Both Fitness and Diet coaches are awsome.. Through their guidance i lost extra weight of almost 14kg in a gradual and healthy way.. Diet plans are available every where on the internet.. But having a dietician guide you through your weight loss journey has lead to not only weight loss but a healthy and sustainable change in my way of life.. Thanks for the whole team. They did an amazing job running HealthifyMe.""]","HealthifyMe - Calorie Counter, Diet Plan, Trainers",3,4,1,"HealthifyMe - Calorie Counter, Diet Plan, Trainers__cluster_11",t-frex,allmini,balanced,0
developer tools,programmers,"[""programs"", ""programming"", ""developer""]","[""Now this app refuses to close unless I do a force stop. Spotify fix your stupid app. But before you fix the app, get smart programmers. I mostly like this app. However I don't like the way it sends notifications when I don't want them and have the settings set to not send them. And it keeps popping up when not in use until I uninstall it then reinstall it. At this time it has become very annoying. It would be nice if that could be fixed."", ""Only the worst programmers work at spotify. I Only pay to listen to (*J*.R*.\\E) until they're forced to kick Joe. Use podcast addict for everything else. Just buy music you like ON CD, use the ~25 year old \""app\"": Winamp, to listen to one of millions of internet radio stations, free. The blue warnings mean it's a really good episode and they're right over the target. \""Never give up. Never surrender\"" - Tim the tool man Taylor"", ""I really want to get premium to show my support for the jre but I just cant since the app is so buggy. The transition to ads sometimes causes the next episode toz play, erasing memory of previous. Good luck finding where you were. Downloaded episodes still require internet connection to play. App plays video even though i set it up not to. It crashes often. Hire some programmers, pay them appropriately, give them the time they need, and produce a workable product. I will then subscribe.""]",Spotify: Music and Podcasts,3,4,3,Spotify: Music and Podcasts__cluster_15,t-frex,allmini,balanced,0
organizing,organization,"[""organizing"", ""meetings"", ""organise"", ""organized""]","[""Great for organization"", ""Like many others, I have used this app for several years and had come to rely on it for organization. Now I can only access about 5% of my notes from my phone. It is slightly better on the computer but very slow either way. I have tried syncing and nothing ever happens. Also noticing that notes do not save accurately. Looks like it's time to transfer everything and find a different solution :("", ""Evernote has potential but it's struggling right now. For me it's the scratchpad, and organization. Writing with a normal pencil on normal paper is easier than writing on the scratchpad in here. I have to keep clicking between pen and eraser, pen and different colors and thickness. One day Evernote will get there.""]",Evernote - Notes Organizer & Daily Planner,4,5,2,Evernote - Notes Organizer & Daily Planner__cluster_0,t-frex,allmini,balanced,0
person tracking,spokesperson,"[""people"", ""person""]","[""I LOVE TILE SO MUCH THEY SHOULD PAY ME TO BE A SPOKESPERSON!""]",Tile,2,3,1,Tile__cluster_8,t-frex,allmini,balanced,0
screen sharing,graphics,"[""screens"", ""display""]","[""Usefull. Please remove graphics for emoji and make the raise hand display bigger."", ""Awesome sound and graphics.""]",Webex Meetings,2,3,1,Webex Meetings__cluster_6,t-frex,allmini,balanced,0
activity reporting,information,"[""report"", ""details"", ""telling""]","[""Works great lots of information and features"", ""No social features and it no longer displays sleep information sent from Pebble, only step info."", ""As with everything Google they expect you to volunteer too much personal information for no added value to user. I just want to track my steps and walking routes. I'm expected to share height and weight before I can even try out the app. Unnecessary. No thanks.""]",Google Fit: Activity Tracking,3,4,3,Google Fit: Activity Tracking__cluster_13,t-frex,allmini,balanced,0
customization,personalization,"[""custom"", ""customization""]","[""Colors personalization""]",Google Calendar,2,3,1,Google Calendar__cluster_58,t-frex,allmini,balanced,0
live video,camera,"[""cam"", ""camara""]","[""Amazing app the only problem is that I want to make my own live calls and turn on my camera but I don't find any option that can do that and I don't get how to send gifts and how to like when I get invited in a family I don't get what is the point of it but over that all I love this app and I recommend it for people it helps u to learn while have fun at the same time \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d"", ""Is this app I can't get the camera option in the 2022 update. This needs to be fixed""]",StarMaker: Sing Karaoke Songs,2,3,1,StarMaker: Sing Karaoke Songs__cluster_21,t-frex,allmini,balanced,0
online access,website,"[""link"", ""site"", ""google"", ""online""]","[""Haven't trouble logging in because the original email that I had set credit karma up with over 10 years ago no longer have access to nor do I know any of the information for that email and I've changed it through the website to my new or email a it were email and through the app also called and talked to 2 people and got them to change it and all they done was we're gonna send you to a higher person now and they send it in the email and said I would hear from them soon I haven't heard a word"", ""Hope their offices get raided by the FBI. Don't even need to install to know how terrible it is based off of website and customer service experience thus far. Website is a hacked together piece of garbage with no actual phone numbers that are easy to find... can't even imagine how this is llegal, considering that they're a financial institution; and left bereft of options when it comes to something simple, like entering in shipping address for debit card to be sent to? Please!"", ""super easy to use website, valuable information. wish it hard a dark mode and let me see an estimated score by changing variables to see what might happen to my score if I made certain decisions""]",Credit Karma,4,5,4,Credit Karma__cluster_5,t-frex,allmini,balanced,0
sync songs,sync lyrics,"[""sync songs"", ""synchronizing"", ""lyric sync"", ""- sync""]","[""best sync lyrics"", ""Musixmatch y'all the bomb i love everything about this music lyrics distribution and sharing. And the option to sync lyrics to song that's a wow i love it keep the good work."", ""Doesn't sync lyrics anymore on my phone""]",Musixmatch - Lyrics for your music,4,5,3,Musixmatch - Lyrics for your music__cluster_25,t-frex,allmini,balanced,0
data linking,reference,"[""link"", ""source""]","[""Very useful for reference. Not entirely accurate...but still good.""]",Google Fit: Activity Tracking,2,3,2,Google Fit: Activity Tracking__cluster_72,t-frex,allmini,balanced,0
password storage,password generator,"[""password storage"", ""password manager"", ""password saving"", ""password fields"", ""password driven"", ""password lists"", ""password vault"", ""password tool"", ""vault""]","[""LastPass is extremely helpful in managing all my user accounts. It would be a 5 star rating if the android version was more seemless in filling login information. I often have to minimize an app login and manually start LastPass for the credentials to be filled-in. I also use the password generator when changing passwords or creating new accounts. Highly recommended!"", ""Password generator has vanished in the last update"", ""It's ok I guess. Auto fill almost never works and too often I find myself needing to copy/paste passwords to the clipboard. Also...why in the world do I need to create a new dummy item just to get to the password generator? I expect more now that it's not free.""]",LastPass Password Manager,9,10,4,LastPass Password Manager__cluster_21,t-frex,allmini,balanced,0
verification checks,confirmation,"[""verify"", ""check"", ""verification""]","[""Most of the time the bid confirmation doesn't work so you lose the item. Makes the whole thing somewhat pointless. If using Buy it Now the PayPal link doesn't work properly with the \""new\"" checkout. Total garbage. Better to use the web version instead of this crud. Re Developer's response: I'm not here to do your quality control. Sort your own mess out at your expense not mine. January 2022 - just missed out yet again trying to bid due to this heap of junk's unresponsive buttons."", ""Good ol' eBay. However, I was hoping that a confirmation could be added when removing items from cart. A simple fumble of the phone accidentally removed 2 items from my cart with no undo option. Thank you"", ""BEWARE!!!! ONCE YOU PUT IN A BID THERE IS NOWAY TO RETRACT THE BID ANYWHERE IN THE APP NOR MOBILE SITE!!! I WAS BACKSPACING A BID OUT AND ERASED THE PERIOD IN THE BID AND THEN INSTEAD OF CONTINUING BACKSPACING IT ENTERED AND DID NOT ASK TO CONFIRM THE BID AT ALL!!! TRIED TO PUT A BID OF 115, CHANGED FROM 102.50 AND ENDED UP PUTTING A MAX BID OF 1050 WITH NO CONFIRMATION!!!""]",eBay: The shopping marketplace,3,4,1,eBay: The shopping marketplace__cluster_13,t-frex,allmini,balanced,0
homework solving,math solutions,"[""solving"", ""doubt solving"", ""solutions"", ""equation""]","[""best aap for math solutions It shows step by step solutions and that is enough\ud83d\ude18""]",Brainly – Get Homework Help,4,5,3,Brainly – Get Homework Help__cluster_29,t-frex,allmini,balanced,0
notification alerts,push notification,"[""notification"", ""notified"", ""push alert""]","[""Slow to sync and push notifications. Live ringer is ~30 seconds behind real time. New Nest cameras only work in Google Home. I'd use only Google Home except it didn't do anything with the smoke detectors. A broken environment."", ""Keeps turning off Push Notifications for Nest Hello on its own, have to go into the apps settings everyday and turn them back on."", ""Video doorbell no longer sending notifications for any movement (gen 1 subscription). Push notifications are active but I'm not get any notifications via email or phone.""]",Nest,3,4,2,Nest__cluster_13,t-frex,allmini,balanced,0
video editing,cutting,"[""chop"", ""cuts""]","[""I had an interview, with a good 4g signal and my video kept cutting out so I had to re arrange the interview."", ""Idk if it was my phones issue, or if it was the app's problem, but the wifi connection was very strong, and yet the voices kept cutting in and out for a few seconds every few minutes. Not enough to ruin the call, but enough to make it annoying a time or 2, when it happened during extremely important calls and it would drag or skip mid-sentence, and make it nearly impossible to decypher exactly what was meant. Otherwise, it was perfect. 5 stars if/when fixed. I'd recommend it, for sure!"", ""Kept cutting out""]",Webex Meetings,2,3,2,Webex Meetings__cluster_40,t-frex,allmini,balanced,0
meal,restaurant,"[""meal"", ""food"", ""dining"", ""diner"", ""eats""]","[""good.....but always sends order to the furthest restaurant"", ""Seems every time I use this app, there's some reason for a cancelation of, or a missing item from, my order. Yeah, they refund it, but honestly, there's a reason I ordered the food instead of taking $5 out of my wallet and shoving it into my mouth. Obviously I wanted the food, not the money!! Save your money and time and just go to the restaurant to pick it up yourself..... this service is a joke anymore. \ud83d\ude12 \ud83d\udc4e"", ""nice to have but restaurant prices are gauged""]",Grubhub: Local Food Delivery & Restaurant Takeout,5,6,3,Grubhub: Local Food Delivery & Restaurant Takeout__cluster_14,t-frex,allmini,balanced,0
lighting control,group lights,"[""led"", ""lighting"", ""lights"", ""lamp"", ""bulbs""]","[""It's okay for now. Still needs support for some IOT devices. Also must add support to un group lights so you don't have to turn them all on in one room.""]",Google Home,5,6,1,Google Home__cluster_14,t-frex,allmini,balanced,0
printing and formatting,finger print,"[""print"", ""font""]","[""Nice app. But it needs improvement on security such as finger print logins"", ""UI is smooth, love to use this app for daily use, but one thing that lacks is finger print access can u please add that feature in your next update"", ""The App doesn't deserve condemnation. What it needs is a commendable. The developers are doing well But it needs improvement on security such as finger print logins. Very very important.""]",ColorNote Notepad Notes,2,3,2,ColorNote Notepad Notes__cluster_17,t-frex,allmini,balanced,0
device support,tablet,"[""device"", ""usb"", ""phones""]","[""We need WIDGETS, especially a live view widget! Tablet support widgets! Make it happen"", ""App no longer works on Samsung phone. When viewing cameras the app crashes every time. Only seems to work on my Samsung Galaxy s7 tablet."", ""Doesn't display properly on Samsung Tab S8+ and Android 12. Doesn't expand to fill the screen. Looks like it can't adapt for 16:9 on this tablet. Have to use in portrait mode.""]",Blink Home Monitor — Smart Home Security App,3,4,3,Blink Home Monitor — Smart Home Security App__cluster_5,t-frex,allmini,balanced,0
collaborative organisation,collaboration,"[""organised"", ""meetings"", ""organisation"", ""collaborate"", ""group"", ""organize"", ""organizing"", ""team""]","[""Very useful application. But now not working collaboration kindly check the issue."", ""I'm giving this a low score because it's barely improved in a decade. We needed better nested lists, collaboration tools, tagging. The drawing interface is years behind Samsung notes and apple notes. I'm not even going to ask for PDF printouts. But just advanced text editing with nested lists for simple project planing with a spouse."", ""Most versatile little note program, it's great for collaboration. I've been using it for years. :)""]",Google Keep - Notes and Lists,8,9,4,Google Keep - Notes and Lists__cluster_18,t-frex,allmini,balanced,0
file management,file manager,"[""folder"", ""files""]","[""Just ask for payment and after make payment also not to be download any songs in our file manager....just irritating it...""]",Gaana Hindi Song Music App,2,3,1,Gaana Hindi Song Music App__cluster_1,t-frex,allmini,balanced,0
message sharing,messaging,"[""sending"", ""contacted"", ""message"", ""email""]","[""Loved this app ..... at first. Its now driving me insane as it keeps having syncing issues with my fitbit charge 4. No steps or calories earned for the last 6 days. This is not the first time. I've tried emailing and messaging on the Facebook and Instagram pages but have received no replies. I've done everything I did the first time but still no syncing. I know that this is an ongoing problem as many users have posted about it !""]",MyFitnessPal: Calorie Counter,4,5,2,MyFitnessPal: Calorie Counter__cluster_44,t-frex,allmini,balanced,0
online communication,communicate with people,"[""online communication"", ""communicate between"", ""international communication"", ""communication""]","[""It is a good up and helps me communicate with people. The video too is very clear.Thanks for the app in this era of covid""]",ZOOM Cloud Meetings,4,5,4,ZOOM Cloud Meetings__cluster_29,t-frex,allmini,balanced,0
customer support,communication,"[""speak"", ""chat""]","[""Credit Karma doesn't update the account information. I went to dispute a credit card balance on equifax because this said that it was higher than actually is, but equifax showed the correct balance. So the developer really needs to fix the communication issue."", ""Like so many others who have commented, I'm told my current version of the app is no longer supported, must update, with no option to update. Uninstalled and re-installed, same issue. This is obviously a widespread issue affecting affecting many users. Why is credit karma not at least acknowledging the issue and sending out some communication to let us know they're working on it?"", ""CK does not give acurate up to date scores. It allows hard inquiries to stay on their portfolio if your credit that are clearly removed from other institutes portfolios for having been fraud. They will also convince you to allow credit checks from others they asvertise for, knowing it will hurt you further and at same time promote the claim that they are there to help improve your credit. They do not give you an upfront customer communication access ability either. They have caused harm. No Good""]",Credit Karma,2,3,2,Credit Karma__cluster_31,t-frex,allmini,balanced,0
slide creation,powerpoint presentation,"[""point viewer"", ""point apps"", ""slides"", ""shape drawing"", ""powerpoint file"", ""chart"", ""animation"", ""presentation""]","[""Very wonderful app, I don't have to have a laptop or desktop to make a great PowerPoint presentation. Thanks to the developer"", ""It's really convenient when you're on the go and needs to edit powerpoint presentation. I'm still trying to figure out how to use it on smartphone but glad there are no lags."", ""This is a amazing app . By this app I got 25 out of 30 marks in my PowerPoint presentation test , in my online class of school. Thank you for making this app. \ud83d\ude4f\ud83d\ude4f""]",Microsoft PowerPoint,8,9,5,Microsoft PowerPoint__cluster_1,t-frex,allmini,balanced,0
customer support,customer service,"[""service"", ""customer support""]","[""This is a scam company they have no customer service support sucks, I sold a game console girl swapped out my systems Ive been a seller & buyer, I have all 5 star reviews. They did the return 1 sided didn't even let me load pics & show proof of my side of the story, after 3 days of her return bing approved it's supposed 2 B nulled she didn't ship it 4 a week. Barcode didn't match the system I sent out it arrived back 2 me busted and damaged totally different. Criminal company"", ""No customer service! After making 1st purchase and messaging the seller to confirm the item, my account got limited and my purchase was cancelled with no explanation or means of resolution. I messaged Mercari via their Contact Us page 2x and no response. Over a week later Mercari finally tells me to upload my driver license to verify my identity. I send the photo and back to no response from Mercari (7+ days)."", ""Customer service is virtually non-existent. Phone line is nothing but a voice mail box. Left 5 voice mails and over 10 messages on app in 8 days with no reply. App/website is running rampant with scam sellers. Sellers send decoy junk packages to wrong address and hope you don't figure it out or get hold of customer service within 3 days so they get paid leaving you screwed. Go to legit sites that care with real customer service team available like Poshmark or eBay.""]",Mercari: Your Marketplace,2,3,2,Mercari: Your Marketplace__cluster_9,t-frex,allmini,balanced,0
step counting,step measuring,"[""step detection"", ""step counting"", ""step tracker"", ""step counts"", ""steps"", ""staircase""]","[""Everything is good including UI and functions but accuracy of step measuring is not good""]",Google Fit: Activity Tracking,6,7,3,Google Fit: Activity Tracking__cluster_24,t-frex,allmini,balanced,0
cloud sync,sync across multiple devices,"[""online sync"", ""sync between devices"", ""sync across devices"", ""syncing across"", ""sync to"", ""google sync"", ""cloud sync""]","[""Absolutely love this app and the fact that it can sync across multiple devices is a plus because no matter what I'm using I can use the same notes."", ""Simple and very intuitive app, ability to sync across multiple devices and password protect notes is a great feature.""]",ColorNote Notepad Notes,7,8,3,ColorNote Notepad Notes__cluster_42,t-frex,allmini,balanced,0
payment processing,paypal payment,"[""payment page"", ""dit payment""]","[""PayPal payment method unavailable?""]",foodpanda: Food & Groceries,2,3,2,foodpanda: Food & Groceries__cluster_21,t-frex,allmini,balanced,0
community - building,community connections,"[""community information"", ""community - building"", ""community action"", ""community site"", ""communities"", ""connect communities""]","[""Community connections, great so far 1/ 2022""]",Nextdoor: Your Neighborhood,6,7,6,Nextdoor: Your Neighborhood__cluster_48,t-frex,allmini,balanced,0
video editing,video controls,"[""video editor"", ""video apps""]","[""App is clunky to use with limited video controls (no pause, timeline, just awkward backwards and forwards buttons) no UI improvements in years. Events can be slow to load. Outside camera suffers from wind noise. Limited/expensive subscription options. Questionable upload quality."", ""Video controls are getting worse"", ""No integration with other google cameras. Error messages have no detail or description Lacks basic video controls like fast forward, rewind. Scrolling control is not fine grained. You cannot scroll to a specific second.""]",Nest,2,3,1,Nest__cluster_98,t-frex,allmini,balanced,0
package tracking,package management,"[""manage packages"", ""package tracking"", ""package tracker"", ""packages""]","[""great app that makes package management a breeze!""]",FedEx Mobile,4,5,3,FedEx Mobile__cluster_8,t-frex,allmini,balanced,0
